user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,pl_new_user,release_user,release_package,cve,is_web,has_cve,star_user_log10,fork_user_log10,contributor_user_log10,issue_new_user_log10,pl_new_user_log10,release_user_log10,release_package_log10
ipinfo/python,aio-libs/aiohttp,1,542,28,4,6,5,2,0,1,0,0,0,1.462397998,0.698970004,0.84509804,0.77815125,0.477121255,0,0.301029996
ipinfo/python,psf/requests,1,126,30,4,11,6,2,2,2,0,1,0,1.491361694,0.698970004,1.079181246,0.84509804,0.477121255,0.477121255,0.477121255
ipregistry/ipregistry-python,psf/requests,1,15,1,0,1,0,3,0,1,0,1,0,0.301029996,0,0.301029996,0,0.602059991,0,0.301029996
ipregistry/ipregistry-python,psf/requests,1,223,0,0,1,0,7,0,2,0,1,0,0,0,0.301029996,0,0.903089987,0,0.477121255
jamiebull1/geomeppy,aaa_numpy/numpy,0,13,1,0,9,1,8,0,4,0,0,0,0.301029996,0,1,0.301029996,0.954242509,0,0.698970004
jamiebull1/geomeppy,aaa_numpy/numpy,0,42,1,0,9,1,8,0,4,0,0,0,0.301029996,0,1,0.301029996,0.954242509,0,0.698970004
jamiebull1/geomeppy,aaa_numpy/numpy,1,12,2,2,7,1,5,1,4,0,0,0,0.477121255,0.477121255,0.903089987,0.301029996,0.77815125,0.301029996,0.698970004
jamiebull1/geomeppy,aaa_numpy/numpy,1,12,3,2,5,3,6,0,2,2,0,1,0.602059991,0.477121255,0.77815125,0.602059991,0.84509804,0,0.477121255
jamiebull1/geomeppy,aaa_numpy/numpy,1,53,3,2,5,3,6,0,2,0,0,0,0.602059991,0.477121255,0.77815125,0.602059991,0.84509804,0,0.477121255
jamiebull1/geomeppy,aaa_numpy/numpy,1,549,2,0,6,3,5,0,4,0,0,0,0.477121255,0,0.84509804,0.602059991,0.77815125,0,0.698970004
jamiebull1/geomeppy,aaa_numpy/numpy,1,60,2,2,7,1,5,1,4,0,0,0,0.477121255,0.477121255,0.903089987,0.301029996,0.77815125,0.301029996,0.698970004
jamiebull1/geomeppy,aaa_numpy/numpy,1,638,0,1,6,4,4,0,2,0,0,0,0,0.301029996,0.84509804,0.698970004,0.698970004,0,0.477121255
jamiebull1/geomeppy,aaa_numpy/numpy,1,96,3,0,2,0,2,0,3,0,0,0,0.602059991,0,0.477121255,0,0.477121255,0,0.602059991
jamiebull1/geomeppy,matplotlib/matplotlib,1,15,2,2,7,1,5,1,2,0,0,0,0.477121255,0.477121255,0.903089987,0.301029996,0.77815125,0.301029996,0.477121255
jamiebull1/geomeppy,matplotlib/matplotlib,1,494,2,0,6,3,5,0,3,0,0,0,0.477121255,0,0.84509804,0.602059991,0.77815125,0,0.602059991
jamiebull1/geomeppy,matplotlib/matplotlib,1,62,3,0,2,0,2,0,2,0,0,0,0.602059991,0,0.477121255,0,0.477121255,0,0.477121255
jamiebull1/geomeppy,matplotlib/matplotlib,1,628,0,1,6,4,4,0,1,0,0,0,0,0.301029996,0.84509804,0.698970004,0.698970004,0,0.301029996
